user,timestamp,hours,project,logged_time
Ned,2018-11-22 15:46:00,2.0,culture and management,02:00:00
Theon,2018-11-22 15:45:00,4.0,blog ideas,04:00:00
Theon,2018-11-22 15:45:00,3.0,projects,03:00:00
Robb,2018-11-22 15:38:00,9.0,projects,09:00:00
Viserys,2018-11-22 15:31:00,3.42,projects,03:25:11
Viserys,2018-11-22 15:31:00,3.86,blog ideas,03:51:35
Viserys,2018-11-22 15:31:00,0.28,ops and admin,00:16:48
Jaime,2018-11-22 15:27:00,2.0,projects,02:00:00
Jaime,2018-11-22 15:27:00,0.5,ops and admin,00:30:00
Jaime,2018-11-22 15:27:00,0.5,projects,00:30:00
Jaime,2018-11-22 15:27:00,1.0,projects,01:00:00
Jaime,2018-11-22 15:27:00,0.75,projects,00:45:00
Jaime,2018-11-22 15:27:00,3.25,projects,03:15:00
Joffrey,2018-11-22 14:12:00,1.0,projects,01:00:00
Joffrey,2018-11-22 14:12:00,2.0,projects,02:00:00
Joffrey,2018-11-22 14:12:00,2.0,bizdev,02:00:00
Joffrey,2018-11-22 14:12:00,1.5,projects,01:30:00
Joffrey,2018-11-22 14:12:00,2.0,projects,02:00:00
Jon,2018-11-22 11:36:00,0.5,projects,00:30:00
Jon,2018-11-22 11:36:00,1.75,projects,01:45:00
Jon,2018-11-22 11:36:00,1.5,projects,01:30:00
Jon,2018-11-22 11:36:00,1.0,projects,01:00:00
Jon,2018-11-22 11:36:00,2.25,projects,02:15:00
Jon,2018-11-22 11:36:00,1.0,projects,01:00:00
Jon,2018-11-22 11:36:00,0.75,projects,00:45:00
Jon,2018-11-22 11:36:00,1.0,projects,01:00:00
Jon,2018-11-22 11:36:00,1.75,projects,01:45:00
Jon,2018-11-22 11:36:00,0.5,projects,00:30:00
Davos,2018-11-22 10:58:00,1.0,culture and management,01:00:00
Davos,2018-11-22 10:58:00,1.0,culture and management,01:00:00
Davos,2018-11-22 10:58:00,3.0,projects,03:00:00
Davos,2018-11-22 10:58:00,2.0,projects,02:00:00
Davos,2018-11-22 10:58:00,1.0,projects,01:00:00
Samwell,2018-11-22 10:25:00,7.5,projects,07:30:00
Bran,2018-11-22 00:00:00,1.08,bizdev,01:04:48
Bran,2018-11-22 00:00:00,1.02,projects,01:01:12
Bran,2018-11-22 00:00:00,1.25,projects,01:15:00
Bran,2018-11-22 00:00:00,1.0,projects,01:00:00
Bran,2018-11-22 00:00:00,2.98,bizdev,02:58:47
Stannis,2018-11-22 00:00:00,3.03,website,03:01:47
Jorah,2018-11-22 00:00:00,1.0,ops and admin,01:00:00
Stannis,2018-11-22 00:00:00,0.25,website,00:15:00
Stannis,2018-11-22 00:00:00,0.6,projects,00:36:00
Stannis,2018-11-22 00:00:00,1.6,learning,01:36:00
Stannis,2018-11-22 00:00:00,0.93,learning,00:55:48
Stannis,2018-11-22 00:00:00,0.83,projects,00:49:47
Catelyn,2018-11-22 00:00:00,4.7,projects,04:42:00
Catelyn,2018-11-22 00:00:00,1.42,ops and admin,01:25:11
Jorah,2018-11-22 00:00:00,1.0,bizdev,01:00:00
Jorah,2018-11-22 00:00:00,1.0,personal time,01:00:00
Jorah,2018-11-22 00:00:00,0.25,blog ideas,00:15:00
Jorah,2018-11-22 00:00:00,1.0,culture and management,01:00:00
Jorah,2018-11-22 00:00:00,1.0,culture and management,01:00:00
